OxySoft export of:	C:\Users\NIRS\Desktop\HPL Practice Test\Example_On_Off_Kinetics
Export date:	2024/07/19 10:58:09
Start of measurement:	2021-07-14 14:08:11.999

Datafile sample rate:	10.00	Hz
Datafile duration:	960.600	s
Datafile total number of samples:	9606

Description:	

Optode-template:	PortaMon TSI Fit Factor
Optode distance (mm):	 35.00
Optode gradients (mm):	 5.00
DPF:	4.00

Device id:	1329
# Receivers:	1
# Light sources:	6
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	759	nm
1	2	854	nm
1	3	759	nm
1	4	854	nm
1	5	761	nm
1	6	856	nm

Export sample rate:	10.00	Hz
Selected time span:	0	960.600
Selected time span (sample numbers):	0	9606


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (LaLonde_Test_FP_7_14_21)
3	Rx1-Tx1 HHb (LaLonde_Test_FP_7_14_21)
4	Rx1-Tx2 O2Hb (LaLonde_Test_FP_7_14_21)
5	Rx1-Tx2 HHb (LaLonde_Test_FP_7_14_21)
6	Rx1-Tx3 O2Hb (LaLonde_Test_FP_7_14_21)
7	Rx1-Tx3 HHb (LaLonde_Test_FP_7_14_21)
8	Rx1-Tx1,Tx2,Tx3 TSI% (LaLonde_Test_FP_7_14_21)
9	Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (LaLonde_Test_FP_7_14_21)
10	(Event)


1	2	3	4	5	6	7	8	9	10
     0	202.6952	109.1125	161.6968	85.5257	148.7981	67.9355	100.0000	95.4575	
     1	 0.2970	 0.0049	 0.2335	-0.0094	 0.1604	 0.0157	60.8936	99.9941	
     2	 0.3094	 0.0129	 0.2254	 0.0254	 0.1595	-0.0027	60.9326	99.9950	
     3	 0.2629	 0.0296	 0.1737	 0.0120	 0.0906	 0.0415	60.8018	99.9939	
     4	 0.2040	 0.0383	 0.1538	 0.0192	 0.0981	 0.0106	60.9775	99.9946	
     5	 0.2149	 0.0220	 0.1127	 0.0127	 0.0549	 0.0359	60.8018	99.9937	
     6	 0.1793	 0.0224	 0.0928	 0.0198	 0.0532	-0.0009	60.9307	99.9945	
     7	 0.1437	 0.0227	 0.0411	 0.0065	-0.0166	 0.0248	60.7978	99.9937	
     8	 0.1082	 0.0231	 0.0517	 0.0133	 0.0532	-0.0009	61.0242	99.9941	
     9	 0.1917	 0.0303	 0.1444	 0.0332	 0.1181	 0.0594	60.9013	99.9940	
    10	 0.2040	 0.0383	 0.1550	 0.0400	 0.1081	 0.0350	60.9384	99.9947	
    11	 0.1793	 0.0224	 0.0928	 0.0198	 0.0558	 0.0544	60.8077	99.9935	
    12	 0.1205	 0.0311	 0.0728	 0.0270	 0.0457	 0.0299	60.9384	99.9943	
    13	 0.1205	 0.0311	 0.0517	 0.0133	 0.0200	 0.0488	60.8506	99.9934	
    14	 0.0726	 0.0235	 0.0118	 0.0276	 0.0008	 0.0184	60.9365	99.9943	
    15	 0.0137	 0.0322	-0.0305	 0.0003	-0.0598	 0.0502	60.8506	99.9932	
    16	 0.0014	 0.0242	 0.0200	-0.0072	 0.0440	-0.0069	61.1622	99.9939	
    17	 0.0958	 0.0152	 0.0728	 0.0270	 0.0640	 0.0419	60.9461	99.9943	
    18	 0.0602	 0.0155	 0.0330	 0.0413	 0.0449	 0.0115	61.0299	99.9949	
    19	 0.0479	 0.0076	-0.0093	 0.0140	-0.0157	 0.0433	60.8545	99.9936	
    20	-0.0000	-0.0000	 0.0000	-0.0000	-0.0000	-0.0000	61.0299	99.9945	
    21	-0.0233	 0.0083	-0.0410	-0.0065	-0.0432	 0.0253	60.9423	99.9936	
    22	-0.0589	 0.0087	-0.0903	 0.0218	-0.0624	-0.0051	61.0261	99.9945	
    23	-0.0603	-0.0156	-0.0915	 0.0010	-0.0532	 0.0009	60.9871	99.9940	
